Botanical Name,Physical Features,Species,Descriptions,Disease it helps to cure
Alpinia Galanga (Rasna),"Tall perennial herb with aromatic rhizomes, leaves lanceolate, flowers in dense spikes, fruit capsule",Alpinia galanga,"Alpinia galanga, also known as Rasna, is a herbaceous perennial plant that belongs to the ginger family. It is mainly grown in Southeast Asia and is known for its medicinal properties.","Respiratory infections, indigestion, arthritis, inflammation, pain, and fever"
Amaranthus Viridis (Arive-Dantu),"Annual herb with green leaves, long spikes of green flowers, small green seeds",Amaranthus viridis,"Amaranthus viridis, commonly known as Arive-Dantu, is an annual plant that is native to South America. It is now widely cultivated throughout the world as a food and medicinal plant.","Asthma, cough, diarrhea, dysentery, eye problems, fever, and inflammation"
Artocarpus Heterophyllus (Jackfruit),"Large evergreen tree with glossy leaves, oval or oblong fruits with rough skin, yellow or orange pulp",Artocarpus heterophyllus,"Artocarpus heterophyllus, commonly known as jackfruit, is a tropical tree that belongs to the mulberry family. It is native to Southeast Asia and is now cultivated in many parts of the world.","Skin diseases, indigestion, constipation, asthma, and diarrhea"
Avaram,"Shrub or small tree with compound leaves, yellow flowers in clusters, flat seed pods",Senna auriculata,"Avaram, also known as Senna auriculata, is a leguminous plant that is native to India. It is used in Ayurvedic medicine to treat various ailments.","Diabetes, liver disorders, urinary tract infections, skin diseases, and hypertension"
Azadirachta Indica (Neem),"Large evergreen tree with pinnate leaves, fragrant white flowers, small oval fruits with hard seed",Azadirachta indica,"Azadirachta indica, commonly known as neem, is a fast-growing tree that is native to India. It has been used in Ayurvedic medicine for thousands of years to treat a variety of ailments.","Skin diseases, malaria, fever, indigestion, respiratory disorders, and fungal infections"
Balloon vine,"Climbing herb with heart-shaped leaves, small greenish-white flowers, inflated bladder-like fruits",Cardiospermum halicacabum,"Balloon vine, also known as Cardiospermum halicacabum, is a climbing plant that is native to South America. It has been used in traditional medicine for centuries to treat various ailments.","Skin diseases, fever, joint pain, and respiratory infections"
Basella Alba (Basale),"Climbing vine with fleshy leaves, green or reddish stems, small greenish-white flowers",Basella alba,"Basella alba, also known as basale, is a vine-like plant that is native to tropical Asia. It is commonly grown as a leaf vegetable and is used in traditional medicine to treat various ailments.","Anemia, eye problems, constipation, hemorrhoids, and menstrual disorders"
Bellyache bush (Green),"Shrubby herb with green leaves, tubular flowers in clusters, inflated fruit capsules",Jatropha gossypiifolia,"Bellyache bush, also known as Jatropha gossypiifolia, is a shrub that is native to Central and South America. It has been used in traditional medicine to treat a variety of ailments.","Abdominal pain, constipation, cough, asthma, and skin diseases"
Benghal dayflower,"Herb with succulent stems, leaves ovate or heart-shaped, flowers blue or white with 2 large petals and 1 small petal",Commelina benghalensis L.,"Used in traditional medicine to treat various ailments including skin diseases, coughs, and fever","Skin diseases, coughs, fever"
Big Caltrops,"Prostrate herb with quadrangular stems, leaves opposite, flowers white or pale purple, fruit with spiny burrs",Tribulus terrestris L.,"Used in traditional medicine to treat urinary tract infections, kidney problems, and male sexual problems","Urinary tract infections, kidney problems"
Brassica Juncea (Indian Mustard),"Annual herb with pinnately lobed leaves, yellow flowers, elongated seed pods",Brassica juncea (L.) Czern.,"Used as a vegetable and spice in many cuisines, and also has medicinal properties, including aiding digestion and relieving respiratory problems","Digestive issues, respiratory problems"
Bristly Wild Grape,"Climbing vine with rough stems, leaves palmately lobed, small greenish flowers, dark purple fruits",Cissus quadrangularis L.,"Used in traditional medicine to treat bone fractures, joint pain, and digestive problems","Bone fractures, joint pain, digestive issues"
Butterfly Pea,"Climbing herb with compound leaves, flowers blue or purple with 5 petals, flattened seed pods",Clitoria ternatea L.,"Used in traditional medicine to improve memory, treat anxiety and depression, and reduce inflammation","Memory improvement, anxiety, depression"
Cape Gooseberry,"Herb with branched stems, leaves lobed or toothed, yellow flowers with purplish center, yellowish-orange fruits enclosed in papery husk",Physalis peruviana L.,"Used in traditional medicine to treat asthma, hepatitis, and fever, and is also rich in antioxidants","Asthma, hepatitis, fever, antioxidant"
Carissa Carandas (Karanda),"Thorny shrub with opposite leaves, fragrant white or pinkish flowers, fleshy red or purple fruits",Carissa carandas L.,"Used in traditional medicine to treat diarrhea, constipation, and sore throat, and is also used as a natural remedy for diabetes and hypertension","Diarrhea, constipation, sore throat"
Citrus Limon (Lemon),"Small evergreen tree with oval leaves, fragrant white flowers, yellow fruits with acidic pulp",Citrus limon (L.) Burm. f.,"Used as a food and flavoring agent, and also has medicinal properties, including aiding digestion and improving skin health","Digestion, skin health"
coatbuttons,"Herb with pinnate leaves, flowers small and greenish, fruit capsules with hooked spines",Tridax procumbens L.,"Used in traditional medicine to treat fever, diarrhea, and respiratory infections, and is also used as an anti-inflammatory and pain reliever","Fever, diarrhea, respiratory infections"
Common Wireweed,"Annual herb with slender stems, leaves narrow and linear, flowers small and inconspicuous, fruit capsules",Sida acuta Burm. f.,"Used in traditional medicine to treat respiratory infections, fever, and diarrhea, and is also used as an anti-inflammatory and pain reliever","Respiratory infections, fever, diarrhea"
Country Mallow,"Shrub with velvety leaves, pink or purple flowers, fruit capsules with hooked spines",Sida cordifolia L.,"Used in traditional medicine to treat asthma, coughs, and fever, and is also used as a natural remedy for menstrual disorders and sexual dysfunction","Asthma, coughs, fever, menstrual disorders"
Crown flower,"Perennial herb with milky sap, leaves lanceolate or oblong, flowers blue or purple with 5 petals, fruit capsules",Calotropis gigantea (L.) Dryand. ex W.T. Aiton,"Used in traditional medicine to treat various ailments including skin diseases, fever, and digestive disorders","Skin diseases, fever, digestive disorders"
Euphorbia hirta,"Herb with hairy stems, leaves opposite and serrated, flowers small and greenish, fruit capsules",Euphorbia hirta,"Euphorbia hirta is a small flowering plant that is native to India. It is known for its medicinal properties and is commonly used in Ayurvedic and traditional medicine to treat various ailments such as asthma, cough, and diarrhea. It is also used as an ornamental plant in gardens and landscapes.","Asthma, cough, diarrhea"
Ficus Auriculata (Roxburgh fig),"Large evergreen tree with leathery leaves, flowers hidden inside figs, figs enclosed in a pear-shaped receptacle",Ficus Auriculata,"Ficus Auriculata, also known as Roxburgh fig, is a large, evergreen tree that is native to India and Southeast Asia. It has medicinal properties and is used in Ayurvedic and traditional medicine to treat various ailments such as wounds, skin diseases, and respiratory disorders. It is also commonly grown as an ornamental tree in gardens and parks.","Wounds, skin diseases, respiratory disorders"
Ficus Religiosa (Peepal Tree),"Large deciduous tree with heart-shaped leaves, flowers hidden inside figs, figs enclosed in a pear-shaped receptacle",Ficus Religiosa,"Ficus Religiosa, also known as the peepal tree, is a large deciduous tree that is native to the Indian subcontinent. It has religious significance in Hinduism, Buddhism, and Jainism and is also used in Ayurvedic medicine to treat various ailments such as asthma, diabetes, and skin diseases.","Asthma, diabetes, skin diseases"
